Recording	Participant	Gender	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Average_pupil_diameter
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	BuggyCall	7785	195	40	6853	150	3.97513
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	BugIsHere	7540	251	30	12100	162	4.0962
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	CastingCall	7565	223	34	5225	155	3.83255
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	CastingFunction	4020	212	19	10923	358	3.99112
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	MainHeader	885	177	5	4533	162	3.6864
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	PrintStatement	10507	224	47	27600	177	3.98643
Recording36	Participant33	Male	White on Black	py1sem (1)	1	py1sem	VarDeclaration	8208	235	35	0	190	3.85817
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	BugIsHere	237	237	1	54817	237	3.74416
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	FirstIfStatement	6407	207	31	7264	183	3.89908
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	FunctionCall	17444	335	52	1244	178	3.78455
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	FunctionHeader	7758	242	32	7563	92	3.78852
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	MainHeader	1828	261	7	426	160	3.79697
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	PrintStatement	12002	218	55	1691	223	3.84989
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	Return	1080	180	6	11694	138	3.88625
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	SecondIfStatement	4417	201	22	10364	107	3.87478
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	ThirdIfStatement	2558	284	9	11338	332	3.81841
Recording36	Participant33	Male	White on Black	py1syn (1)	1	py1syn	VarDeclaration	8383	215	39	0	187	3.81555
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere	5645	269	21	4045	260	4.09357
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere2	2668	334	8	6338	560	3.88835
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	FirstPrint	11420	220	52	7920	228	4.06092
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	Increment	3698	284	13	9255	243	4.04649
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	MainHeader	1493	213	7	710	162	3.99621
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	SecondPrint	4148	198	21	9862	270	4.00367
Recording36	Participant33	Male	White on Black	py2sem (1)	1	py2sem	VarDeclaration	4841	242	20	318	185	4.00543
Recording36	Participant33	Male	White on Black	py2syn (1)	1	py2syn	BugIsHere	13062	237	55	502	157	4.07188
Recording36	Participant33	Male	White on Black	py2syn (1)	1	py2syn	FirstIfStatement	32089	255	126	682	330	4.01131
Recording36	Participant33	Male	White on Black	py2syn (1)	1	py2syn	ForLoop	28722	256	112	1039	185	3.9673
Recording36	Participant33	Male	White on Black	py2syn (1)	1	py2syn	MainHeader	3152	263	12	0	207	3.9788
Recording36	Participant33	Male	White on Black	py2syn (1)	1	py2syn	ThirdIfStatement	5945	229	26	6452	172	4.02569
Recording36	Participant33	Male	White on Black	py2syn (1)	1	py2syn	VarDeclaration	11951	230	52	232	230	3.91558
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	ForLoop	21799	232	94	204	107	4.07478
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncCall	1675	335	5	15221	318	3.94237
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncHeader	3705	218	17	348	263	3.98665
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	FuncReturn	3000	214	14	9758	170	4.09288
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	InputList	3637	214	17	10189	177	4.07071
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	MainHeader	460	230	2	10913	203	3.99719
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	PrintStatement	570	190	3	14540	223	4.12281
Recording36	Participant33	Male	White on Black	pycomp1 (1)	1	pycomp1	VarDeclaration	1683	210	8	1149	187	3.93949
Recording36	Participant33	Male	White on Black	pycomp2 (1)	1	pycomp2	ForLoop	63116	246	257	1490	150	3.93037
Recording36	Participant33	Male	White on Black	pycomp2 (1)	1	pycomp2	FuncHeader	3758	235	16	2850	268	3.7726
Recording36	Participant33	Male	White on Black	pycomp2 (1)	1	pycomp2	JoinSentence	14432	241	60	41511	222	3.97627
Recording36	Participant33	Male	White on Black	pycomp2 (1)	1	pycomp2	Return	1040	208	5	52246	237	3.99733
Recording36	Participant33	Male	White on Black	pycomp2 (1)	1	pycomp2	SentenceSplit	12433	265	47	1675	363	3.87316
Recording36	Participant33	Male	White on Black	pycomp2 (1)	1	pycomp2	VarDeclaration	2598	260	10	9363	183	3.87662
Recording37	Participant36	Male	White on Black	java1 (1)	1	java1	FunctionHeader	0		0			
Recording37	Participant36	Male	White on Black	java1 (1)	1	java1	Loop	31112	203	153	0	160	4.15912
Recording37	Participant36	Male	White on Black	java1 (1)	1	java1	ReturnValue	1368	228	6	56317	382	4.00574
Recording37	Participant36	Male	White on Black	java1 (1)	1	java1	VarDeclaration	2615	201	13	711	123	4.01898
Recording37	Participant36	Male	White on Black	java1 (1)	1	java1	VarUpdate	5350	206	26	14868	153	4.18992
Recording37	Participant36	Male	White on Black	java2 (1)	1	java2	BugIsHere	27834	226	123	15629	235	4.064
Recording37	Participant36	Male	White on Black	java2 (1)	1	java2	ForLoop	30976	211	147	8230	125	4.01887
Recording37	Participant36	Male	White on Black	java2 (1)	1	java2	FunctionHeader	7595	230	33	14	227	3.83055
Recording37	Participant36	Male	White on Black	java2 (1)	1	java2	VarDeclaration	2595	185	14	272	140	3.86944
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	BuggyCall	36171	194	186	1657	95	3.90534
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	BugIsHere	13754	202	68	55268	213	3.86476
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	CastingCall	43719	220	199	8732	363	3.82709
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	CastingFunction	26292	196	134	25974	122	3.96777
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	MainHeader	0		0			
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	PrintStatement	17902	188	95	26373	160	3.93448
Recording37	Participant36	Male	White on Black	py1sem (1)	1	py1sem	VarDeclaration	27394	221	124	0	129	3.81735
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	BugIsHere	2892	361	8	39251	290	4.10477
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	FirstIfStatement	4647	221	21	13469	62	3.8709
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	FunctionCall	2976	175	17	174	147	3.73833
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	FunctionHeader	2578	172	15	7551	128	3.87817
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	MainHeader	235	235	1	68353	235	3.67912
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	PrintStatement	4880	257	19	2769	192	3.84888
