Metric,Media,AOI,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Duration_of_first_fixation,pycomp1,PrintStatement,192.09166666666667, 170.09821428571428, 180.375, 171.5, 130.0,0.1424152055975908, 0.23809523809523808
Duration_of_first_fixation,pycomp1,VarDeclaration,256.26666666666665, 220.91991341991343, 158.0, 206.0, 101.5,0.5693013815702371, -0.03333333333333333
Duration_of_first_fixation,pycomp2,ForLoop,221.33333333333334, 196.07142857142858, 200.0, 195.0, 120.0,0.2634217173651098, 0.14285714285714285
Duration_of_first_fixation,pycomp2,FuncHeader,166.53333333333333, 182.42857142857142, 176.0, 176.0, 82.0,0.8541946527023447, -0.21904761904761905
Duration_of_first_fixation,pycomp2,JoinSentence,216.92903225806452, 206.4193548387097, 207.0, 204.0, 105.5,0.5, 0.004761904761904762
Duration_of_first_fixation,pycomp2,Return,195.2488888888889, 201.83809523809526, 198.0, 196.5, 105.0,0.5087189112222981, 0.0
Duration_of_first_fixation,pycomp2,SentenceSplit,209.06666666666666, 181.017316017316, 178.0, 156.5, 128.0,0.16305472601024446, 0.21904761904761905
Duration_of_first_fixation,pycomp2,VarDeclaration,261.4, 181.2792207792208, 195.0, 171.0, 129.0,0.152504621784187, 0.22857142857142856
Number_of_fixations,java1,FunctionHeader,8.733333333333333, 9.714285714285714, 8.0, 8.0, 111.5,0.3963893707084756, 0.06190476190476191
Number_of_fixations,java1,Loop,100.73333333333333, 124.42857142857143, 100.0, 81.0, 113.0,0.3716951031520906, 0.0761904761904762
Number_of_fixations,java1,ReturnValue,3.933333333333333, 3.5714285714285716, 4.0, 3.0, 114.5,0.3458236365721389, 0.09047619047619047
Number_of_fixations,java1,VarDeclaration,18.066666666666666, 21.428571428571427, 17.0, 18.0, 98.5,0.6201383726576586, -0.06190476190476191
Number_of_fixations,java1,VarUpdate,21.333333333333332, 18.214285714285715, 20.0, 14.5, 128.5,0.15743860373821522, 0.22380952380952382
Number_of_fixations,java2,BugIsHere,46.766666666666666, 29.142857142857142, 34.0, 28.5, 131.0,0.13281439352279878, 0.24761904761904763
Number_of_fixations,java2,ForLoop,72.03333333333333, 64.42857142857143, 75.0, 64.5, 119.5,0.27057153761352976, 0.1380952380952381
Number_of_fixations,java2,FunctionHeader,32.06666666666667, 29.0, 27.0, 22.0, 121.5,0.242307261039925, 0.15714285714285714
Number_of_fixations,java2,VarDeclaration,21.033333333333335, 17.142857142857142, 17.0, 16.0, 116.0,0.3231399543366752, 0.10476190476190476
Number_of_fixations,py1sem,BugIsHere,45.666666666666664, 60.142857142857146, 29.0, 58.5, 91.0,0.7367056323109695, -0.13333333333333333
Number_of_fixations,py1sem,BuggyCall,63.4, 66.92857142857143, 48.0, 63.5, 100.5,0.5864017507745107, -0.04285714285714286
